calle,num,latitud,longitud,idAcc,desconocidos,ilesos,leves,graves,muertos
CALLE DE ARTURO SORIA NUM,285,40.45006480000001,-3.652382899999999,2018/12419,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,289,40.45006480000001,-3.652382899999999,2018/7589,0,0,1,0,0
CALLE DE ARTURO SORIA NUM,315,40.45006480000001,-3.652382899999999,2018/1835,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,316,40.45006480000001,-3.652382899999999,2018/11939,1,2,1,0,0
CALLE DE ARTURO SORIA NUM,324,40.45006480000001,-3.652382899999999,2018/9177,0,0,1,0,0
CALLE DE ARTURO SORIA NUM,330,40.45006480000001,-3.652382899999999,2018/12061,0,2,3,0,0
CALLE DE ARTURO SORIA NUM,334,40.45006480000001,-3.652382899999999,2018/12453,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,34,40.45006480000001,-3.652382899999999,2018/6547,0,3,0,1,0
CALLE DE ARTURO SORIA NUM,348,40.45006480000001,-3.652382899999999,2018/8973,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,353,40.45006480000001,-3.652382899999999,2018/1456,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,67,40.45006480000001,-3.652382899999999,2018/2036,0,2,1,0,0
CALLE DE ARTURO SORIA NUM,90,40.45006480000001,-3.652382899999999,2018/2460,0,2,1,0,0
CALLE DE ARTURO SORIA NUM,95,40.45006480000001,-3.652382899999999,2018/7003,0,0,1,0,0
CALLE DE ARTURO SORIA NUM,99,40.45006480000001,-3.652382899999999,2018/2804,0,0,1,0,0
CALLE DE ARZUA - CALLE DEL MAR CASPIO,0,40.4736475,-3.6472011,2018/10244,0,2,1,0,0
CALLE DE ASCAO - CALLE DE EMILIO FERRARI,0,40.43023549999999,-3.640399,2018/16068,0,5,0,1,0
CALLE DE ASCAO - CALLE DE EMILIO FERRARI,0,40.43023549999999,-3.640399,2018/334,0,2,1,0,0
CALLE DE ASCAO - CALLE DE GUTIERRE DE CETINA,0,40.4298988,-3.6411879,2018/4174,0,3,1,0,0
CALLE DE ASCAO - CALLE DE GUTIERRE DE CETINA,0,40.4298988,-3.6411879,2018/9807,0,1,1,0,0
CALLE DE ASCAO - CALLE DE JOSE ARCONES GIL,0,40.4319659,-3.6367396,2018/15376,0,2,1,0,0
CALLE DE ASCAO - CALLE DE LOS HERMANOS GARCIA NOBLEJAS,          ,40.4329268,-3.6345191,2018/12,0,4,2,1,0
CALLE DE ASCAO - PLAZA DE VILAFLOR,0,40.43242,-3.6356925,2018/8675,0,1,2,0,0
CALLE DE ASCAO NUM,45,40.4309788,-3.639415099999999,2018/2011,1,0,1,0,0
CALLE DE ASCAO NUM,58,40.4309788,-3.639415099999999,2018/1111,0,1,1,0,0
CALLE DE ASURA - CALLE DE BELISANA,0,40.4583899,-3.6554384,2018/287,0,1,1,0,0
CALLE DE ASURA - CALLE DE TITANIA,0,40.4598587,-3.6568809,2018/11704,0,1,1,0,0
CALLE DE ASURA - CALLE DE TORRECILLA DEL PUERTO,0,40.4511259,-3.6493008,2018/7204,0,3,1,0,0
CALLE DE ASURA - CALLE DE ULISES,          ,40.4569481,-3.654188399999999,2018/8290,0,0,1,0,0
CALLE DE ATAPUERCA - CALLE DE LOS MORALES,0,40.3597447,-3.761449,2018/14476,0,2,1,0,0
CALLE DE ATOCHA - PASEO DEL PRADO,0,40.4092713,-3.6919769,2018/11091,0,2,0,1,0
CALLE DE ATOCHA - PASEO DEL PRADO,0,40.4092713,-3.6919769,2018/16049,0,1,1,0,0
CALLE DE ATOCHA - PASEO DEL PRADO,0,40.4092713,-3.6919769,2018/5236,0,1,1,0,0
CALLE DE ATOCHA - PASEO DEL PRADO,0,40.4092713,-3.6919769,2018/576,0,1,1,0,0
CALLE DE ATOCHA - PLAZA DE JACINTO BENAVENTE,          ,40.4141389,-3.7034371,2018/3434,0,2,1,0,0
CALLE DE ATOCHA - PLAZA DE JACINTO BENAVENTE,0,40.4141389,-3.7034371,2018/2039,0,1,1,0,0
CALLE DE ATOCHA - PLAZA DE JACINTO BENAVENTE,0,40.4141389,-3.7034371,2018/4217,0,1,1,0,0
CALLE DE ATOCHA - PLAZA DEL EMPERADOR CARLOS V,0,40.4092713,-3.6919769,2018/6074,0,1,1,0,0
CALLE DE ATOCHA NUM,1,40.4147581,-3.7054213,2018/2308,0,3,1,0,0
CALLE DE ATOCHA NUM,109,40.4147581,-3.7054213,2018/11602,0,1,1,0,0
CALLE DE ATOCHA NUM,111,40.4147581,-3.7054213,2018/13320,0,3,0,1,0
CALLE DE ATOCHA NUM,113,40.4147581,-3.7054213,2018/14659,0,2,1,0,0
CALLE DE ATOCHA NUM,117,40.4147581,-3.7054213,2018/8622,0,1,1,0,0
CALLE DE ATOCHA NUM,119,40.4147581,-3.7054213,2018/8088,0,1,1,0,0
CALLE DE ATOCHA NUM,120,40.4147581,-3.7054213,2018/16478,0,0,1,0,0
CALLE DE ATOCHA NUM,123,40.4147581,-3.7054213,2018/1085,0,2,1,0,0
CALLE DE ATOCHA NUM,123,40.4147581,-3.7054213,2018/1440,0,1,1,0,0
CALLE DE ATOCHA NUM,125,40.4147581,-3.7054213,2018/2498,0,1,1,0,0
CALLE DE ATOCHA NUM,125,40.4147581,-3.7054213,2018/2959,1,2,0,1,0
CALLE DE ATOCHA NUM,125,40.4147581,-3.7054213,2018/7399,0,1,1,0,0
CALLE DE ATOCHA NUM,127,40.4147581,-3.7054213,2018/11734,0,1,1,0,0
CALLE DE ATOCHA NUM,19,40.4147581,-3.7054213,2018/2928,0,0,2,0,0
CALLE DE ATOCHA NUM,42,40.4147581,-3.7054213,2018/9217,1,1,1,0,0
CALLE DE ATOCHA NUM,54,40.4147581,-3.7054213,2018/4893,0,2,0,1,0
CALLE DE ATOCHA NUM,55,40.4147581,-3.7054213,2018/4127,0,2,2,0,0
