FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2002,Madrid,V,AM,0,0,18,42,30,14,2,2,108
11/03/2019,2002,Madrid,V,B,0,0,537,8.339,1.409,419,129,20,10853
11/03/2019,2002,Madrid,V,"B,A,A2",0,0,1,775,587,120,22,4,1509
11/03/2019,2002,Madrid,V,"B,A1",0,0,35,110,74,36,13,0,268
11/03/2019,2002,Madrid,V,"B,B+E",0,0,1,24,22,11,8,2,68
11/03/2019,2002,Madrid,V,"B,B+E,A,A2",0,0,0,17,19,14,5,1,56
11/03/2019,2002,Madrid,V,"B,B+E,A1",0,0,0,0,0,3,1,2,6
11/03/2019,2002,Madrid,V,BTP,0,0,0,1,1,16,0,0,18
11/03/2019,2002,Madrid,V,C,0,0,3,69,80,34,1,0,187
11/03/2019,2002,Madrid,V,"C,A,A2",0,0,0,39,39,15,2,0,95
11/03/2019,2002,Madrid,V,"C,A1",0,0,0,1,2,2,0,0,5
11/03/2019,2002,Madrid,V,"C,B+E",0,0,0,1,0,1,0,0,2
11/03/2019,2002,Madrid,V,"C,C+E",0,0,0,31,23,7,1,0,62
11/03/2019,2002,Madrid,V,"C,C+E,A,A2",0,0,0,16,19,5,1,0,41
11/03/2019,2002,Madrid,V,"C1,A,A2",0,0,0,1,9,3,0,0,13
11/03/2019,2002,Madrid,V,"C1,A1",0,0,0,0,2,0,0,0,2
11/03/2019,2002,Madrid,V,"C1,C1+E,A,",0,0,0,1,4,0,0,0,5
11/03/2019,2002,Madrid,V,D ,0,0,0,26,47,18,4,0,95
11/03/2019,2002,Madrid,V,"D,A,A2",0,0,0,26,32,8,1,0,67
11/03/2019,2002,Madrid,V,"D,A1",0,0,0,0,2,1,0,0,3
11/03/2019,2002,Madrid,V,"D,B+E",0,0,0,1,0,0,0,0,1
11/03/2019,2002,Madrid,V,"D,B+E,A,A2",0,0,0,3,0,0,0,0,3
11/03/2019,2002,Madrid,V,"D,C+E",0,0,0,0,1,0,0,0,1
11/03/2019,2002,Madrid,V,"D,D+E",0,0,0,27,15,7,2,0,51
11/03/2019,2002,Madrid,V,"D,D+E,A,A2",0,0,0,33,51,16,2,0,102
11/03/2019,2002,Madrid,V,D1,0,0,0,0,1,0,0,0,1
11/03/2019,2002,Madrid,V,"D1,D1+E",0,0,0,3,0,0,0,0,3
11/03/2019,2002,Madrid,V,Otros,0,0,130,1.819,286,59,6,1,2301
11/03/2019,2003,Madrid,M,AM,0,0,8,11,8,7,3,2,39
11/03/2019,2003,Madrid,M,B,0,0,2.607,10.917,2.614,753,169,16,17076
11/03/2019,2003,Madrid,M,"B,A,A2",0,0,1,94,78,14,0,0,187
11/03/2019,2003,Madrid,M,"B,A1",0,0,25,69,62,23,5,0,184
